Geo__geoid_	Geo__geo_level_	Geo_NAME	Geo_qname	Geo_AREALAND	Geo_AREAWATER	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21029020502"	"SL140"	"Census Tract 205.02, Bullitt County, Kentucky"	"Census Tract 205.02, Bullitt County, Kentucky"	1236000	0	1472	314	502	482	128	46	0	0
"21029020601"	"SL140"	"Census Tract 206.01, Bullitt County, Kentucky"	"Census Tract 206.01, Bullitt County, Kentucky"	4934506	6302	3837	391	1519	1280	359	258	5	25
"21029020602"	"SL140"	"Census Tract 206.02, Bullitt County, Kentucky"	"Census Tract 206.02, Bullitt County, Kentucky"	4095760	18128	1369	124	511	444	166	104	13	7
"21029020702"	"SL140"	"Census Tract 207.02, Bullitt County, Kentucky"	"Census Tract 207.02, Bullitt County, Kentucky"	6116171	354361	1421	191	648	338	105	120	9	10
"21029020703"	"SL140"	"Census Tract 207.03, Bullitt County, Kentucky"	"Census Tract 207.03, Bullitt County, Kentucky"	9634304	122845	3224	253	1303	1043	414	184	27	0
"21029020704"	"SL140"	"Census Tract 207.04, Bullitt County, Kentucky"	"Census Tract 207.04, Bullitt County, Kentucky"	3054318	22087	2216	329	985	458	346	87	11	0
"21029020800"	"SL140"	"Census Tract 208, Bullitt County, Kentucky"	"Census Tract 208, Bullitt County, Kentucky"	47019864	420819	3662	425	1756	1221	208	52	0	0
"21029020900"	"SL140"	"Census Tract 209, Bullitt County, Kentucky"	"Census Tract 209, Bullitt County, Kentucky"	81790763	240836	2296	86	1133	782	219	76	0	0
"21029021102"	"SL140"	"Census Tract 211.02, Bullitt County, Kentucky"	"Census Tract 211.02, Bullitt County, Kentucky"	112713584	1130652	3676	311	1827	904	540	78	16	0
"21029021103"	"SL140"	"Census Tract 211.03, Bullitt County, Kentucky"	"Census Tract 211.03, Bullitt County, Kentucky"	21925225	342727	1001	45	417	247	126	94	72	0
"21029021104"	"SL140"	"Census Tract 211.04, Bullitt County, Kentucky"	"Census Tract 211.04, Bullitt County, Kentucky"	22860839	472974	3000	378	1266	1063	258	35	0	0
"21029021200"	"SL140"	"Census Tract 212, Bullitt County, Kentucky"	"Census Tract 212, Bullitt County, Kentucky"	166525715	1357780	3857	568	1786	921	330	195	0	57
"21029980100"	"SL140"	"Census Tract 9801, Bullitt County, Kentucky"	"Census Tract 9801, Bullitt County, Kentucky"	142550063	1588751	0	0	0	0	0	0	0	0
"21031930100"	"SL140"	"Census Tract 9301, Butler County, Kentucky"	"Census Tract 9301, Butler County, Kentucky"	233654302	1649131	2164	423	926	565	167	59	24	0
"21031930200"	"SL140"	"Census Tract 9302, Butler County, Kentucky"	"Census Tract 9302, Butler County, Kentucky"	248350463	2802128	1152	221	664	211	35	19	2	0
"21031930301"	"SL140"	"Census Tract 9303.01, Butler County, Kentucky"	"Census Tract 9303.01, Butler County, Kentucky"	133437798	4376342	1097	185	467	304	46	63	32	0
"21031930302"	"SL140"	"Census Tract 9303.02, Butler County, Kentucky"	"Census Tract 9303.02, Butler County, Kentucky"	61164913	1208613	2229	514	1083	511	75	24	22	0
"21031930400"	"SL140"	"Census Tract 9304, Butler County, Kentucky"	"Census Tract 9304, Butler County, Kentucky"	218458452	1079088	1198	183	527	270	105	102	11	0
"21031930500"	"SL140"	"Census Tract 9305, Butler County, Kentucky"	"Census Tract 9305, Butler County, Kentucky"	208558105	2775740	851	113	441	225	30	29	13	0
"21033920100"	"SL140"	"Census Tract 9201, Caldwell County, Kentucky"	"Census Tract 9201, Caldwell County, Kentucky"	323301084	2519482	1705	146	707	604	173	68	2	5
"21033920200"	"SL140"	"Census Tract 9202, Caldwell County, Kentucky"	"Census Tract 9202, Caldwell County, Kentucky"	195853285	1037271	3830	319	1930	939	421	204	17	0
"21033920301"	"SL140"	"Census Tract 9203.01, Caldwell County, Kentucky"	"Census Tract 9203.01, Caldwell County, Kentucky"	37216358	275443	1805	235	695	600	177	58	18	22
"21033920302"	"SL140"	"Census Tract 9203.02, Caldwell County, Kentucky"	"Census Tract 9203.02, Caldwell County, Kentucky"	336747149	4752289	1516	75	629	464	132	176	32	8
