tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G2100190031200,21019031200,G2100190031300,21019031300,0.0001558302,0,0,0,0,0,0,0
G2100190031300,21019031300,G2100190031200,21019031200,0.0108134162,0.0110410095,0.0117302053,0.0111642743,0.012745098,0.0118644068,0.0175438596,0.0050890585
G2100190031300,21019031300,G2100190031300,21019031300,0.9891865838,0.9889589905,0.9882697947,0.9888357257,0.987254902,0.9881355932,0.9824561404,0.9949109415
G2100210930100,21021930100,G2100210930100,21021930100,0.9997250549,1,1,1,1,1,1,1
G2100210930100,21021930100,G2100210930200,21021930200,0.0002749451,0,0,0,0,0,0,0
G2100210930200,21021930200,G2100210930200,21021930200,0.9902232884,0.9965499055,0.9968401857,0.9964922075,0.9970840866,0.997278086,0.9967310295,0.998095672
G2100210930200,21021930200,G2100210930700,21021930700,0.0000136143,0.0000081017,0.0000069663,0.000007673,0.000006278,0.0000057891,0.0000073644,0.0000031651
G2100210930200,21021930200,G2101370920102,21137920102,0.0097630973,0.0034419928,0.003152848,0.0035001195,0.0029096354,0.002716125,0.0032616061,0.0019011629
G2100210930300,21021930300,G2100210930300,21021930300,1,1,1,1,1,1,1,1
G2100210930400,21021930400,G2100210930400,21021930400,1,1,1,1,1,1,1,1
G2100210930500,21021930500,G2100210930500,21021930500,1,1,1,1,1,1,1,1
G2100210930600,21021930600,G2100210930600,21021930600,1,1,1,1,1,1,1,1
G2100210930700,21021930700,G2100210930700,21021930700,0.9971064869,0.9938653241,0.9949978891,0.995407752,0.9962651844,0.9963663404,0.997099656,0.9938319086
G2100210930700,21021930700,G2100450950100,21045950100,0.0000429315,0.0000070375,0.0000074556,0.0000076874,0.0000081327,0.0000076883,0.0000078209,0.0000090419
G2100210930700,21021930700,G2101370920102,21137920102,0.0027986159,0.0060679096,0.0049365426,0.0045262036,0.0036705455,0.0035674537,0.0028339684,0.0061099607
G2100210930700,21021930700,G2101370920200,21137920200,0.0000519657,0.0000597288,0.0000581127,0.000058357,0.0000561374,0.0000585176,0.0000585547,0.0000490887
